Timestamp,RTU11_SfSts,RTU11_SfVfd(%),RTU11_SpcTStairW(°F),RTU12_DmprStairE(%),RTU12_SpcTStairE(°F)
07-Jan-19 6:25:01 am,,36.84,64.55,,
30-Apr-19 3:10:00 am,,35.61,69.63,0.00,70.11
15-Jan-19 7:50:00 pm,,36.07,63.58,0.00,65.47
10-Apr-19 4:05:00 pm,,32.76,68.04,,
07-Jan-19 1:40:01 pm,,,,0.00,67.22
09-May-19 11:35:00 pm,,34.41,69.72,0.00,70.04
27-Dec-18 7:35:00 pm,,33.81,64.24,0.00,66.33
05-Dec-18 2:15:00 pm,,34.89,64.24,0.00,66.77
24-Apr-19 4:15:00 pm,,68.90,72.08,0.00,71.72
12-Apr-19 6:00:00 pm,,33.20,67.11,0.00,67.76
25-Mar-19 7:20:01 pm,,,,0.00,70.32
13-Apr-19 5:15:00 pm,,41.38,72.78,0.00,69.78
27-Apr-19 5:25:00 pm,,78.09,74.34,0.00,72.61
02-Jan-19 9:20:00 pm,,33.08,59.07,0.00,63.39
02-Jan-19 1:55:01 pm,,,,0.00,64.26
20-Jan-19 6:30:00 am,,33.93,52.30,0.00,58.64
13-Nov-18 5:40:00 pm,,36.16,63.20,0.00,65.58
14-Nov-18 12:15:00 am,,36.69,60.10,,
21-Dec-18 8:35:00 pm,,32.95,63.27,0.00,65.89
09-Jan-19 2:35:01 pm,,,,0.00,67.47
18-Nov-18 4:25:00 pm,,34.16,60.01,0.00,60.09
04-Feb-19 2:50:00 am,,33.29,63.86,0.00,65.08
20-Mar-19 4:15:01 pm,,32.74,71.53,0.00,70.68
22-Feb-19 2:05:00 pm,,38.75,72.04,0.00,69.22
09-Mar-19 2:00:00 am,,34.08,64.55,0.00,65.76
15-Apr-19 7:10:00 am,,36.41,67.14,0.00,68.17
17-Apr-19 8:05:00 am,,33.94,71.57,0.00,70.74
30-Dec-18 5:20:00 am,,33.01,57.59,0.00,58.97
25-Apr-19 4:30:00 pm,,76.19,72.55,0.00,71.84
17-Jan-19 8:45:00 pm,,33.10,61.83,0.00,64.53
11-Mar-19 8:10:00 am,,33.21,63.23,0.00,66.29
13-May-19 11:05:00 pm,,32.59,72.08,0.00,71.98
18-Dec-18 3:10:00 am,,33.60,64.26,0.00,64.76
23-Feb-19 12:55:00 pm,,33.58,64.29,0.00,64.43
03-May-19 6:40:00 am,,34.32,69.00,0.00,69.86
21-Mar-19 11:55:00 am,,36.95,71.16,26.15,72.56
25-Dec-18 6:40:00 pm,,34.88,60.19,0.00,63.73
10-Mar-19 6:30:00 pm,,33.52,70.95,0.00,66.69
30-Apr-19 10:05:01 am,,35.49,70.65,,
03-Dec-18 6:05:00 am,,34.52,61.32,0.00,62.45
22-Nov-18 4:45:00 am,,34.29,61.10,0.00,63.01
24-Feb-19 4:00:00 pm,,33.69,66.38,0.00,63.12
11-Nov-18 3:45:00 pm,,32.79,58.09,0.00,59.30
25-Mar-19 12:30:01 am,,32.12,66.85,0.00,69.35
09-Apr-19 11:35:00 pm,,33.69,68.91,0.00,69.78
14-Mar-19 9:20:00 am,,34.60,68.38,0.00,68.61
26-Nov-18 4:15:00 am,,31.97,59.30,0.00,59.96
18-Dec-18 10:20:00 pm,,33.60,65.67,0.00,67.36
19-Jan-19 7:20:00 pm,,31.39,56.32,0.00,58.28
05-May-19 2:50:00 pm,,75.86,72.37,0.00,76.97
08-Nov-18 7:05:00 pm,,33.39,62.37,0.00,65.74
22-Mar-19 4:45:00 pm,,53.66,72.04,0.00,70.34
07-Feb-19 4:25:01 am,,,,0.00,65.11
25-Nov-18 5:00:00 am,,33.88,61.50,0.00,62.73
14-Nov-18 6:00:00 am,,36.70,59.57,0.00,61.79
20-Dec-18 8:00:00 am,,36.73,65.79,0.00,67.53
